City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
558,anna regina,7.2644,-58.5077,26.59,81,3,2.21,GY,1723084865
559,mahibadhoo,3.7833,72.9667,25.92,86,100,8.93,MV,1723084866
560,wanganui,-39.9333,175.05,10.84,73,100,5.69,NZ,1723084868
561,karasu,41.071,30.7854,19.42,87,1,1.2,TR,1723084870
562,deltebre,40.7499,0.7868,24.08,78,5,2.72,ES,1723084661
563,formosa do rio preto,-11.0483,-45.1931,19.55,44,0,0.42,BR,1723084872
564,iranshahr,27.2025,60.6848,31.19,66,100,2.06,IR,1723084873
565,askiz,53.1319,90.5264,19.15,69,100,2.08,RU,1723084875
566,show low,34.2542,-110.0298,22.16,54,75,4.63,US,1723084876
567,bang saphan,11.2126,99.5117,31.44,59,100,1.78,TH,1723084878
568,tangalle,6.024,80.7911,28.09,68,6,5.26,LK,1723084818
569,san rafael,-34.6177,-68.3301,3.2,71,63,2.43,AR,1723084880
570,jayapura,-2.5333,140.7,28.66,66,74,2.73,ID,1723084881
571,gazojak,41.1875,61.4036,34.5,17,2,2.84,TM,1723084882
